scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	1	5	20	4096	0	74	3	75	297	2	4	75	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	1	5	20	4096	0	218	3	62	214	50	68	235	0	62	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	2	5	20	4096	0	74	3	75	295	2	3	77	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	2	5	20	4096	0	181	3	58	208	41	61	234	0	58	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	3	5	20	4096	0	68	3	70	276	2	4	75	0	280	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	3	5	20	4096	0	237	3	66	234	47	84	268	0	66	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	4	5	20	4096	0	72	3	75	299	2	3	74	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	4	5	20	4096	0	239	4	66	251	55	116	333	0	66	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	5	5	20	4096	0	73	3	75	298	1	3	74	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	5	5	20	4096	0	207	3	60	206	53	98	255	0	60	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	6	5	20	4096	0	73	3	75	299	2	4	76	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	6	5	20	4096	0	172	3	58	203	34	54	250	0	58	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	7	5	20	4096	0	69	3	70	275	2	3	74	0	280	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	7	5	20	4096	0	223	3	63	220	41	53	290	0	63	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	8	5	20	4096	0	72	3	75	296	2	4	75	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	8	5	20	4096	0	187	3	54	189	39	56	229	0	54	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	9	5	20	4096	0	73	3	75	299	2	3	76	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	9	5	20	4096	0	227	4	65	251	50	70	294	0	65	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	10	5	20	4096	0	73	3	75	296	2	4	75	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	10	5	20	4096	0	202	3	63	225	41	73	251	0	63	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	11	5	20	4096	0	72	3	75	293	2	3	73	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	11	5	20	4096	0	202	3	62	227	41	65	233	0	62	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	12	5	20	4096	0	69	3	70	269	2	3	74	0	280	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	12	5	20	4096	0	208	3	61	225	42	52	250	0	61	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	13	5	20	4096	0	73	3	75	295	1	3	74	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	13	5	20	4096	0	206	3	65	224	38	66	293	0	65	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	14	5	20	4096	0	73	3	75	298	2	4	76	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	14	5	20	4096	0	198	3	63	213	41	67	211	0	63	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	15	5	20	4096	0	73	3	75	297	2	3	74	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	15	5	20	4096	0	177	3	60	219	36	50	212	0	60	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	16	5	20	4096	0	73	3	75	296	2	4	77	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	16	5	20	4096	0	243	4	68	257	57	97	293	0	68	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	17	5	20	4096	0	74	3	75	292	2	4	76	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	17	5	20	4096	0	241	3	62	230	43	61	265	0	62	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	18	5	20	4096	0	74	3	75	294	2	3	75	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	18	5	20	4096	0	196	3	59	209	38	53	229	0	59	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	19	5	20	4096	0	74	3	75	298	2	3	75	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	19	5	20	4096	0	229	3	65	228	44	65	269	0	65	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	20	5	20	4096	0	73	3	75	291	2	3	75	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	20	5	20	4096	0	223	4	68	229	53	91	275	0	68	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	21	5	20	4096	0	73	3	75	298	2	3	75	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	21	5	20	4096	0	215	3	68	209	51	73	293	0	68	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	22	5	20	4096	0	73	3	75	291	2	3	74	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	22	5	20	4096	0	255	5	64	222	47	68	477	0	64	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	23	5	20	4096	0	68	3	70	280	2	3	75	0	280	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	23	5	20	4096	0	219	4	68	245	45	89	272	0	68	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	24	5	20	4096	0	73	3	75	294	2	3	75	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	24	5	20	4096	0	225	3	63	225	42	71	250	0	63	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	p2p-relay-stream	25	5	20	4096	0	73	3	75	298	2	4	75	0	300	5	5	0	true	
matrix-lat0-5ag-4096b	matrix	slim-group-session	25	5	20	4096	0	242	3	67	242	46	67	291	0	67	5	5	0	true	
