scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat0-3ag-1024b	matrix	p2p-relay-stream	1	3	20	1024	0	61	3	39	76	1	1	71	0	78	5	5	0	true	
matrix-lat0-3ag-1024b	matrix	slim-group-session	1	3	20	1024	0	155	3	32	59	32	71	189	0	32	5	5	0	true	
matrix-lat0-3ag-1024b	matrix	p2p-relay-stream	2	3	20	1024	0	65	3	38	74	1	1	71	0	76	5	5	0	true	
matrix-lat0-3ag-1024b	matrix	slim-group-session	2	3	20	1024	0	172	3	34	60	29	50	211	0	34	5	5	0	true	
matrix-lat0-3ag-1024b	matrix	p2p-relay-stream	3	3	20	1024	0	52	3	32	63	1	1	70	0	64	5	5	0	true	
matrix-lat0-3ag-1024b	matrix	slim-group-session	3	3	20	1024	0	171	3	33	59	37	74	230	0	33	5	5	0	true	
matrix-lat0-3ag-1024b	matrix	p2p-relay-stream	4	3	20	1024	0	71	3	45	86	1	1	72	0	90	5	5	0	true	
matrix-lat0-3ag-1024b	matrix	slim-group-session	4	3	20	1024	0	163	3	31	59	34	48	232	0	31	5	5	0	true	
matrix-lat0-3ag-1024b	matrix	p2p-relay-stream	5	3	20	1024	0	55	3	36	71	1	1	71	0	72	5	5	0	true	
matrix-lat0-3ag-1024b	matrix	slim-group-session	5	3	20	1024	0	152	3	32	58	26	42	192	0	32	5	5	0	true	
