scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat100-30ag	matrix	p2p-relay-stream	1	30	20	0	100	10186	200	22964	22293	5922	11233	18409	7548746	180244	5	5	0	true	
matrix-lat100-30ag	matrix	slim-group-session	1	30	20	0	100	400	5	357	9434	108	158	551	0	357	5	5	0	true	
matrix-lat100-30ag	matrix	p2p-relay-stream	2	30	20	0	100	8778	200	23000	19506	5651	10365	15234	7618771	179179	5	5	0	true	
matrix-lat100-30ag	matrix	slim-group-session	2	30	20	0	100	339	5	317	8050	111	158	485	0	317	5	5	0	true	
matrix-lat100-30ag	matrix	p2p-relay-stream	3	30	20	0	100	5617	200	22230	15176	5155	9265	11684	7064853	173039	5	5	0	true	
matrix-lat100-30ag	matrix	slim-group-session	3	30	20	0	100	359	4	311	7995	106	157	467	0	311	5	5	0	true	
matrix-lat100-30ag	matrix	p2p-relay-stream	4	30	20	0	100	5564	200	19811	17537	4665	7885	7177	7102996	162635	5	5	0	true	
matrix-lat100-30ag	matrix	slim-group-session	4	30	20	0	100	323	4	268	6488	88	157	576	0	268	5	5	0	true	
matrix-lat100-30ag	matrix	p2p-relay-stream	5	30	20	0	100	7029	200	22935	16922	5358	9580	13409	7372613	177220	5	5	0	true	
matrix-lat100-30ag	matrix	slim-group-session	5	30	20	0	100	470	5	346	9489	113	177	665	0	346	5	5	0	true	
