scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat100-10ag	matrix	p2p-relay-stream	1	10	20	0	100	771	36	1399	1107	383	457	837	421191	12591	5	5	0	true	
matrix-lat100-10ag	matrix	slim-group-session	1	10	20	0	100	318	4	109	902	103	182	396	0	109	5	5	0	true	
matrix-lat100-10ag	matrix	p2p-relay-stream	2	10	20	0	100	717	39	1113	1046	356	449	927	335648	10035	5	5	0	true	
matrix-lat100-10ag	matrix	slim-group-session	2	10	20	0	100	276	3	106	790	85	148	314	0	106	5	5	0	true	
matrix-lat100-10ag	matrix	p2p-relay-stream	3	10	20	0	100	631	36	1018	928	314	447	856	306871	9171	5	5	0	true	
matrix-lat100-10ag	matrix	slim-group-session	3	10	20	0	100	320	4	116	910	92	149	377	0	116	5	5	0	true	
matrix-lat100-10ag	matrix	p2p-relay-stream	4	10	20	0	100	749	39	1181	1059	353	461	910	355566	10629	5	5	0	true	
matrix-lat100-10ag	matrix	slim-group-session	4	10	20	0	100	279	3	106	776	96	151	372	0	106	5	5	0	true	
matrix-lat100-10ag	matrix	p2p-relay-stream	5	10	20	0	100	715	39	1180	1058	342	459	923	355459	10620	5	5	0	true	
matrix-lat100-10ag	matrix	slim-group-session	5	10	20	0	100	253	3	100	744	89	146	336	0	100	5	5	0	true	
