scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat25-3ag-10240b	matrix	p2p-relay-stream	1	3	20	10240	25	78	3	47	54	20	28	97	1177	94	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	slim-group-session	1	3	20	10240	25	197	3	32	55	46	65	247	0	32	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	p2p-relay-stream	2	3	20	10240	25	72	3	45	47	16	29	75	1128	90	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	slim-group-session	2	3	20	10240	25	200	3	31	52	46	62	227	0	31	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	p2p-relay-stream	3	3	20	10240	25	78	3	47	57	18	29	98	1176	94	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	slim-group-session	3	3	20	10240	25	195	3	35	57	39	51	259	0	35	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	p2p-relay-stream	4	3	20	10240	25	73	3	45	50	18	29	75	1127	90	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	slim-group-session	4	3	20	10240	25	203	3	35	57	40	66	246	0	35	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	p2p-relay-stream	5	3	20	10240	25	77	3	47	51	18	29	97	1178	94	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	slim-group-session	5	3	20	10240	25	192	3	34	57	43	56	227	0	34	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	p2p-relay-stream	6	3	20	10240	25	77	3	46	54	17	28	96	1150	92	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	slim-group-session	6	3	20	10240	25	204	3	35	54	52	70	228	0	35	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	p2p-relay-stream	7	3	20	10240	25	74	3	45	48	19	29	76	1129	90	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	slim-group-session	7	3	20	10240	25	190	3	33	57	47	63	274	0	33	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	p2p-relay-stream	8	3	20	10240	25	72	3	45	48	18	28	74	1125	90	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	slim-group-session	8	3	20	10240	25	214	3	36	61	43	61	275	0	36	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	p2p-relay-stream	9	3	20	10240	25	72	3	45	46	17	29	74	1128	90	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	slim-group-session	9	3	20	10240	25	200	3	32	53	51	72	252	0	32	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	p2p-relay-stream	10	3	20	10240	25	77	3	46	55	18	29	99	1153	92	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	slim-group-session	10	3	20	10240	25	210	3	36	64	47	71	257	0	36	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	p2p-relay-stream	11	3	20	10240	25	86	3	48	65	19	30	98	1202	96	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	slim-group-session	11	3	20	10240	25	172	3	34	59	35	49	190	0	34	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	p2p-relay-stream	12	3	20	10240	25	72	3	45	49	16	29	73	1126	90	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	slim-group-session	12	3	20	10240	25	215	3	34	58	42	60	298	0	34	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	p2p-relay-stream	13	3	20	10240	25	77	3	46	54	17	28	95	1153	92	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	slim-group-session	13	3	20	10240	25	175	3	34	53	40	52	240	0	34	5	5	0	true	
matrix-lat25-3ag-10240b	matrix	p2p-relay-stream	14	3	20	10240	25	82	3	47	60	18	29	96	1177	94	5	5	0	true	
