scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat50-30ag-10240b	matrix	p2p-relay-stream	1	30	20	10240	50	16203	200	25671	13683	9597	20596	44680	4891020	119270	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	slim-group-session	1	30	20	10240	50	369	5	348	9513	93	136	507	0	348	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	p2p-relay-stream	2	30	20	10240	50	13855	200	24514	12758	7898	18494	32052	3658488	122805	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	slim-group-session	2	30	20	10240	50	404	5	359	9775	103	184	600	0	359	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	p2p-relay-stream	3	30	20	10240	50	16795	200	23248	17494	9709	21184	37710	5343455	137288	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	slim-group-session	3	30	20	10240	50	472	5	423	11785	112	174	547	0	423	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	p2p-relay-stream	4	30	20	10240	50	11147	200	25419	14047	8415	19388	24060	3505875	115463	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	slim-group-session	4	30	20	10240	50	379	6	362	9589	98	178	586	0	362	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	p2p-relay-stream	5	30	20	10240	50	18225	200	25005	16664	9302	18544	34271	4446335	141444	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	slim-group-session	5	30	20	10240	50	367	5	395	10678	86	142	432	0	395	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	p2p-relay-stream	6	30	20	10240	50	18776	200	24559	15083	9035	21500	48670	4949112	129047	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	slim-group-session	6	30	20	10240	50	289	6	301	7691	81	118	502	0	301	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	p2p-relay-stream	7	30	20	10240	50	24214	200	24794	17172	10220	26199	57923	5894926	146105	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	slim-group-session	7	30	20	10240	50	381	4	374	10367	99	166	475	0	374	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	p2p-relay-stream	8	30	20	10240	50	12609	200	23949	12636	6976	15961	29589	3377256	112871	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	slim-group-session	8	30	20	10240	50	395	4	382	10355	97	154	442	0	382	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	p2p-relay-stream	9	30	20	10240	50	11653	200	24364	13190	6277	11330	24104	3138370	104589	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	slim-group-session	9	30	20	10240	50	337	5	329	8977	87	151	402	0	329	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	p2p-relay-stream	10	30	20	10240	50	17903	200	24033	15021	7955	18052	48974	4725447	122370	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	slim-group-session	10	30	20	10240	50	404	5	352	9325	104	184	578	0	352	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	p2p-relay-stream	11	30	20	10240	50	19218	200	25192	15114	8503	17562	45780	5381128	133135	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	slim-group-session	11	30	20	10240	50	381	5	372	10194	93	172	511	0	372	5	5	0	true	
matrix-lat50-30ag-10240b	matrix	p2p-relay-stream	12	30	20	10240	50	15286	200	24947	15431	7526	13659	26514	3719258	128130	5	5	0	true	
