scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat50-30ag-4096b	matrix	p2p-relay-stream	1	30	20	4096	50	9216	200	23574	14247	5407	7916	12913	3670470	124334	5	5	0	true	
matrix-lat50-30ag-4096b	matrix	slim-group-session	1	30	20	4096	50	329	5	318	8838	78	106	392	0	318	5	5	0	true	
matrix-lat50-30ag-4096b	matrix	p2p-relay-stream	2	30	20	4096	50	10089	200	22892	13019	5553	10717	20139	3578213	125241	5	5	0	true	
matrix-lat50-30ag-4096b	matrix	slim-group-session	2	30	20	4096	50	330	4	318	8171	84	132	527	0	318	5	5	0	true	
matrix-lat50-30ag-4096b	matrix	p2p-relay-stream	3	30	20	4096	50	8121	200	21048	14800	5924	10785	13511	3674529	120256	5	5	0	true	
matrix-lat50-30ag-4096b	matrix	slim-group-session	3	30	20	4096	50	363	5	347	9517	82	128	504	0	347	5	5	0	true	
matrix-lat50-30ag-4096b	matrix	p2p-relay-stream	4	30	20	4096	50	8497	200	22478	13109	5697	9641	14741	3631878	122860	5	5	0	true	
matrix-lat50-30ag-4096b	matrix	slim-group-session	4	30	20	4096	50	216	3	251	6258	63	93	254	0	251	5	5	0	true	
matrix-lat50-30ag-4096b	matrix	p2p-relay-stream	5	30	20	4096	50	8893	200	23412	13468	5341	8715	13354	3482319	124934	5	5	0	true	
matrix-lat50-30ag-4096b	matrix	slim-group-session	5	30	20	4096	50	305	3	315	8159	85	120	377	0	315	5	5	0	true	
