scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat100-3ag-4096b	matrix	p2p-relay-stream	1	3	20	4096	100	198	14	94	57	104	173	344	9408	188	5	5	0	true	
matrix-lat100-3ag-4096b	matrix	slim-group-session	1	3	20	4096	100	248	3	36	60	67	108	308	0	36	5	5	0	true	
matrix-lat100-3ag-4096b	matrix	p2p-relay-stream	2	3	20	4096	100	176	9	86	50	96	140	233	8604	172	5	5	0	true	
matrix-lat100-3ag-4096b	matrix	slim-group-session	2	3	20	4096	100	222	3	34	56	75	119	249	0	34	5	5	0	true	
