scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	1	30	20	4096	25	10355	200	21824	15577	6440	11658	19749	3430984	159225	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	1	30	20	4096	25	302	4	377	10277	54	75	353	0	377	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	2	30	20	4096	25	11546	200	24341	13529	5899	9838	19532	4032804	167452	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	2	30	20	4096	25	319	4	351	9403	62	108	435	0	351	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	3	30	20	4096	25	14322	200	21532	18771	7087	12948	27822	4780510	177177	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	3	30	20	4096	25	260	3	308	8020	49	67	363	0	308	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	4	30	20	4096	25	11972	200	22511	18932	7479	13375	20851	3689373	178066	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	4	30	20	4096	25	307	4	337	9121	54	71	364	0	337	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	5	30	20	4096	25	9361	200	22921	14169	5360	8021	13475	2817722	154326	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	5	30	20	4096	25	336	4	340	9517	67	131	390	0	340	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	6	30	20	4096	25	10801	200	21641	14075	6153	12946	23619	3685996	164443	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	6	30	20	4096	25	303	5	296	7912	61	89	434	0	296	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	7	30	20	4096	25	12738	200	22845	17056	6370	10862	18710	3383196	165472	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	7	30	20	4096	25	283	3	326	8842	52	87	372	0	326	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	8	30	20	4096	25	13325	200	22563	15723	6521	12414	27270	5458157	176180	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	8	30	20	4096	25	263	4	335	8349	61	113	390	0	335	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	9	30	20	4096	25	9819	200	21808	14385	6385	14554	20733	4135858	166030	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	9	30	20	4096	25	313	4	323	8835	66	116	389	0	323	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	10	30	20	4096	25	18676	200	21717	22310	8169	14092	26828	6497105	195092	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	10	30	20	4096	25	247	3	285	7538	51	75	344	0	285	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	11	30	20	4096	25	12425	200	23995	18020	6796	11348	24647	3955900	163942	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	11	30	20	4096	25	288	5	305	8228	53	81	515	0	305	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	12	30	20	4096	25	14003	200	23199	18979	7231	14881	38231	4784728	155335	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	12	30	20	4096	25	329	5	360	9696	66	119	401	0	360	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	13	30	20	4096	25	12965	200	23290	15141	7109	19742	32029	4468027	160758	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	13	30	20	4096	25	283	4	299	7957	62	86	378	0	299	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	14	30	20	4096	25	14609	200	20624	20065	8076	18565	35618	5023912	176633	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	14	30	20	4096	25	283	3	298	8122	65	128	369	0	298	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	15	30	20	4096	25	9815	200	23293	12460	5299	8854	17215	3685656	159139	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	15	30	20	4096	25	312	5	308	8282	64	117	484	0	308	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	16	30	20	4096	25	12838	200	23235	15855	6560	13850	20482	4660132	163323	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	16	30	20	4096	25	321	4	346	9483	72	152	410	0	346	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	17	30	20	4096	25	14179	200	18925	20323	7029	14421	26958	4685421	177000	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	17	30	20	4096	25	250	4	294	7672	55	82	350	0	294	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	18	30	20	4096	25	15217	200	23766	15833	7386	15627	36051	4867358	168038	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	18	30	20	4096	25	247	4	288	7579	53	77	268	0	288	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	19	30	20	4096	25	12523	200	22945	17132	7960	18321	30628	4966896	168437	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	19	30	20	4096	25	328	4	324	8720	65	124	500	0	324	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	20	30	20	4096	25	9230	200	22821	12043	5532	10508	18843	3863042	158850	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	20	30	20	4096	25	320	4	345	9411	61	119	394	0	345	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	21	30	20	4096	25	11731	200	21526	15300	6808	11933	19590	4419720	169981	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	21	30	20	4096	25	363	5	324	9065	67	130	415	0	324	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	22	30	20	4096	25	13471	200	23227	16553	6804	12959	32024	4464663	163318	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	22	30	20	4096	25	295	4	302	8319	55	75	416	0	302	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	23	30	20	4096	25	15253	200	21775	18295	6826	12267	32800	5226696	168639	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	23	30	20	4096	25	289	3	344	9238	52	74	334	0	344	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	24	30	20	4096	25	13254	200	22935	16747	6476	10039	23237	3615509	176125	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	24	30	20	4096	25	381	4	358	9774	77	172	539	0	358	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	p2p-relay-stream	25	30	20	4096	25	12781	200	22034	16282	6086	13185	26621	4476231	162065	5	5	0	true	
matrix-lat25-30ag-4096b	matrix	slim-group-session	25	30	20	4096	25	296	4	338	9389	60	88	360	0	338	5	5	0	true	
