scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat50-10ag-10240b	matrix	p2p-relay-stream	1	10	20	10240	50	480	22	825	1245	227	295	551	73895	4283	5	5	0	true	
matrix-lat50-10ag-10240b	matrix	slim-group-session	1	10	20	10240	50	227	4	105	808	63	100	262	0	105	5	5	0	true	
matrix-lat50-10ag-10240b	matrix	p2p-relay-stream	2	10	20	10240	50	449	23	769	1155	207	266	560	68991	4027	5	5	0	true	
matrix-lat50-10ag-10240b	matrix	slim-group-session	2	10	20	10240	50	226	4	101	781	59	85	281	0	101	5	5	0	true	
matrix-lat50-10ag-10240b	matrix	p2p-relay-stream	3	10	20	10240	50	510	27	846	1304	235	347	754	71879	4190	5	5	0	true	
matrix-lat50-10ag-10240b	matrix	slim-group-session	3	10	20	10240	50	285	4	103	840	69	145	377	0	103	5	5	0	true	
matrix-lat50-10ag-10240b	matrix	p2p-relay-stream	4	10	20	10240	50	450	21	696	1159	203	258	559	65815	3861	5	5	0	true	
matrix-lat50-10ag-10240b	matrix	slim-group-session	4	10	20	10240	50	251	3	113	923	63	108	327	0	113	5	5	0	true	
matrix-lat50-10ag-10240b	matrix	p2p-relay-stream	5	10	20	10240	50	472	21	814	1216	225	286	561	73490	4284	5	5	0	true	
matrix-lat50-10ag-10240b	matrix	slim-group-session	5	10	20	10240	50	329	5	125	1046	73	121	464	0	125	5	5	0	true	
