scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat0-5ag	matrix	p2p-relay-stream	1	5	20	0	0	73	3	72	288	1	1	75	0	288	5	5	0	true	
matrix-lat0-5ag	matrix	slim-group-session	1	5	20	0	0	249	5	63	233	53	70	335	0	63	5	5	0	true	
matrix-lat0-5ag	matrix	p2p-relay-stream	2	5	20	0	0	69	3	70	280	1	1	77	0	280	5	5	0	true	
matrix-lat0-5ag	matrix	slim-group-session	2	5	20	0	0	217	4	65	238	37	61	250	0	65	5	5	0	true	
matrix-lat0-5ag	matrix	p2p-relay-stream	3	5	20	0	0	73	3	75	300	1	1	75	0	300	5	5	0	true	
matrix-lat0-5ag	matrix	slim-group-session	3	5	20	0	0	177	3	58	219	45	70	248	0	58	5	5	0	true	
matrix-lat0-5ag	matrix	p2p-relay-stream	4	5	20	0	0	72	3	75	300	1	1	74	0	300	5	5	0	true	
matrix-lat0-5ag	matrix	slim-group-session	4	5	20	0	0	214	3	61	223	52	91	256	0	61	5	5	0	true	
matrix-lat0-5ag	matrix	p2p-relay-stream	5	5	20	0	0	73	3	75	300	1	2	76	0	300	5	5	0	true	
matrix-lat0-5ag	matrix	slim-group-session	5	5	20	0	0	222	3	66	245	50	74	255	0	66	5	5	0	true	
matrix-lat0-5ag	matrix	p2p-relay-stream	6	5	20	0	0	73	3	75	300	1	1	76	0	300	5	5	0	true	
matrix-lat0-5ag	matrix	slim-group-session	6	5	20	0	0	192	3	448	1775	38	51	227	0	448	5	4	1	false	
matrix-lat0-5ag	matrix	p2p-relay-stream	7	5	20	0	0	73	3	75	300	1	2	77	0	300	5	5	0	true	
matrix-lat0-5ag	matrix	slim-group-session	7	5	20	0	0	196	3	60	222	34	46	228	0	60	5	5	0	true	
matrix-lat0-5ag	matrix	p2p-relay-stream	8	5	20	0	0	73	3	75	300	1	1	75	0	300	5	5	0	true	
matrix-lat0-5ag	matrix	slim-group-session	8	5	20	0	0	226	4	65	241	42	77	273	0	65	5	5	0	true	
matrix-lat0-5ag	matrix	p2p-relay-stream	9	5	20	0	0	64	3	65	260	1	1	76	0	260	5	5	0	true	
matrix-lat0-5ag	matrix	slim-group-session	9	5	20	0	0	230	4	61	223	41	68	310	0	61	5	5	0	true	
matrix-lat0-5ag	matrix	p2p-relay-stream	10	5	20	0	0	73	3	75	300	1	1	74	0	300	5	5	0	true	
matrix-lat0-5ag	matrix	slim-group-session	10	5	20	0	0	231	4	66	233	48	94	294	0	66	5	4	1	false	
matrix-lat0-5ag	matrix	p2p-relay-stream	11	5	20	0	0	73	3	75	300	1	1	76	0	300	5	5	0	true	
matrix-lat0-5ag	matrix	slim-group-session	11	5	20	0	0	242	4	461	1816	50	92	297	0	461	5	4	1	false	
matrix-lat0-5ag	matrix	p2p-relay-stream	12	5	20	0	0	73	3	75	300	1	1	74	0	300	5	5	0	true	
matrix-lat0-5ag	matrix	slim-group-session	12	5	20	0	0	213	3	59	223	36	55	252	0	59	5	5	0	true	
matrix-lat0-5ag	matrix	p2p-relay-stream	13	5	20	0	0	74	3	75	300	1	2	78	0	300	5	5	0	true	
