scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat0-30ag-10240b	matrix	p2p-relay-stream	1	30	20	10240	0	47579	200	29485	28264	20596	39799	89885	14687810	231645	5	5	0	true	
matrix-lat0-30ag-10240b	matrix	slim-group-session	1	30	20	10240	0	216	3	372	9507	37	73	258	0	372	5	5	0	true	
matrix-lat0-30ag-10240b	matrix	p2p-relay-stream	2	30	20	10240	0	37920	200	29668	27785	24967	61801	72419	15654818	231056	5	4	1	false	
matrix-lat0-30ag-10240b	matrix	slim-group-session	2	30	20	10240	0	292	4	385	10326	50	127	344	0	385	5	5	0	true	
