scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	1	10	20	10240	25	748	42	878	1474	365	686	1244	61799	5301	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	1	10	20	10240	25	223	3	116	860	47	76	301	0	116	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	2	10	20	10240	25	632	34	681	1531	309	636	974	53807	4945	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	2	10	20	10240	25	273	5	118	955	63	124	405	0	118	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	3	10	20	10240	25	655	53	876	1317	358	835	1307	59238	5353	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	3	10	20	10240	25	257	4	121	915	54	87	296	0	121	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	4	10	20	10240	25	655	26	771	1379	305	672	1115	59754	5310	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	4	10	20	10240	25	313	5	126	1008	63	116	449	0	126	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	5	10	20	10240	25	624	27	610	1498	283	487	1190	52646	4850	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	5	10	20	10240	25	238	3	106	812	46	76	296	0	106	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	6	10	20	10240	25	851	33	856	1510	379	600	1174	67826	5662	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	6	10	20	10240	25	275	4	122	989	54	104	340	0	122	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	7	10	20	10240	25	481	21	536	1273	192	394	750	42199	4137	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	7	10	20	10240	25	270	3	123	1002	57	128	330	0	123	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	8	10	20	10240	25	409	25	502	1301	161	462	888	37934	3908	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	8	10	20	10240	25	260	4	113	927	60	111	313	0	113	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	9	10	20	10240	25	669	24	682	1380	301	447	998	54942	4995	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	9	10	20	10240	25	236	3	121	961	64	126	289	0	121	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	10	10	20	10240	25	475	17	532	1291	203	380	731	44409	4388	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	10	10	20	10240	25	258	3	118	943	54	92	286	0	118	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	11	10	20	10240	25	577	24	623	1484	268	450	916	52120	4895	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	11	10	20	10240	25	231	3	110	816	52	85	253	0	110	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	12	10	20	10240	25	732	33	878	1392	351	779	1179	65495	5641	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	12	10	20	10240	25	306	5	130	1068	76	140	430	0	130	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	13	10	20	10240	25	700	30	749	1427	320	533	1020	58886	5331	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	13	10	20	10240	25	342	7	132	1053	74	186	634	0	132	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	14	10	20	10240	25	685	24	765	1290	314	487	898	61367	5354	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	14	10	20	10240	25	264	4	119	961	60	92	347	0	119	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	15	10	20	10240	25	571	38	734	1358	337	546	798	57142	5147	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	15	10	20	10240	25	287	4	121	997	68	159	362	0	121	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	16	10	20	10240	25	986	50	931	1519	438	918	2149	74116	6083	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	16	10	20	10240	25	258	4	127	989	59	110	323	0	127	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	17	10	20	10240	25	771	28	860	1280	347	592	965	69255	5770	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	17	10	20	10240	25	250	3	110	872	49	68	296	0	110	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	18	10	20	10240	25	986	63	991	1825	532	1371	2051	78718	6660	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	18	10	20	10240	25	243	3	115	928	47	78	284	0	115	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	19	10	20	10240	25	665	23	660	1547	301	446	849	55094	5109	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	19	10	20	10240	25	246	3	110	898	53	101	391	0	110	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	20	10	20	10240	25	883	37	911	1511	435	863	1542	74187	6166	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	20	10	20	10240	25	272	5	124	1021	63	113	444	0	124	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	21	10	20	10240	25	274	13	379	1112	105	200	489	30441	3332	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	21	10	20	10240	25	254	4	116	930	60	131	329	0	116	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	22	10	20	10240	25	269	15	371	1035	95	164	468	28382	3116	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	22	10	20	10240	25	294	3	123	997	62	90	366	0	123	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	23	10	20	10240	25	661	23	603	1429	253	505	1121	52394	4906	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	23	10	20	10240	25	243	3	120	939	65	124	319	0	120	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	24	10	20	10240	25	1418	41	1015	2086	638	1321	2445	90600	7193	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	24	10	20	10240	25	263	4	121	937	49	105	301	0	121	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	p2p-relay-stream	25	10	20	10240	25	922	48	883	1612	428	969	1917	71710	6035	5	5	0	true	
matrix-lat25-10ag-10240b	matrix	slim-group-session	25	10	20	10240	25	263	4	121	961	50	94	283	0	121	5	5	0	true	
