scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat25-20ag-1024b	matrix	p2p-relay-stream	1	20	20	1024	25	3797	200	8995	7736	2397	4739	6770	1511638	85551	5	5	0	true	
matrix-lat25-20ag-1024b	matrix	slim-group-session	1	20	20	1024	25	277	3	211	3635	52	89	306	0	211	5	5	0	true	
matrix-lat25-20ag-1024b	matrix	p2p-relay-stream	2	20	20	1024	25	3027	200	6446	7027	1958	4800	6639	1064894	73374	5	5	0	true	
matrix-lat25-20ag-1024b	matrix	slim-group-session	2	20	20	1024	25	289	4	219	3713	69	134	356	0	219	5	5	0	true	
matrix-lat25-20ag-1024b	matrix	p2p-relay-stream	3	20	20	1024	25	3746	200	8162	7740	2314	4735	7051	1860237	89627	5	5	0	true	
matrix-lat25-20ag-1024b	matrix	slim-group-session	3	20	20	1024	25	350	3	231	4089	59	99	428	0	231	5	4	1	false	
matrix-lat25-20ag-1024b	matrix	p2p-relay-stream	4	20	20	1024	25	4206	143	5774	9554	2144	5107	9580	1570018	80354	5	5	0	true	
matrix-lat25-20ag-1024b	matrix	slim-group-session	4	20	20	1024	25	318	5	212	3778	67	171	383	0	212	5	5	0	true	
matrix-lat25-20ag-1024b	matrix	p2p-relay-stream	5	20	20	1024	25	4379	200	11293	6149	2591	4700	6811	1480289	100567	5	5	0	true	
matrix-lat25-20ag-1024b	matrix	slim-group-session	5	20	20	1024	25	386	5	247	4419	67	155	449	0	247	5	4	1	false	
