scenario_name	domain	implementation	run_id	agents	think_time_ms	payload_bytes	latency_ms	consensus_wall_ms	consensus_round	findings_emitted	findings_received_total	avg_propagation_ms	p95_propagation_ms	last_agent_converge_ms	coord_fanout_ms	stream_rpc_count	epochs	epochs_succeeded	epochs_failed	success	error
matrix-lat100-20ag-1024b	matrix	p2p-relay-stream	1	20	20	1024	100	3544	159	10055	6541	2468	3772	4965	3897452	88605	5	5	0	true	
matrix-lat100-20ag-1024b	matrix	slim-group-session	1	20	20	1024	100	290	3	203	3137	96	148	341	0	203	5	5	0	true	
matrix-lat100-20ag-1024b	matrix	p2p-relay-stream	2	20	20	1024	100	4037	193	10881	6694	2547	4269	6493	3935943	89038	5	5	0	true	
matrix-lat100-20ag-1024b	matrix	slim-group-session	2	20	20	1024	100	312	4	224	3601	96	152	372	0	224	5	5	0	true	
matrix-lat100-20ag-1024b	matrix	p2p-relay-stream	3	20	20	1024	100	3377	165	10165	6637	2468	3562	4072	3862275	88901	5	5	0	true	
matrix-lat100-20ag-1024b	matrix	slim-group-session	3	20	20	1024	100	333	4	209	3408	102	158	417	0	209	5	5	0	true	
matrix-lat100-20ag-1024b	matrix	p2p-relay-stream	4	20	20	1024	100	3517	150	9744	5975	2313	3468	5300	4000004	89064	5	5	0	true	
matrix-lat100-20ag-1024b	matrix	slim-group-session	4	20	20	1024	100	314	4	202	3443	101	153	378	0	202	5	5	0	true	
matrix-lat100-20ag-1024b	matrix	p2p-relay-stream	5	20	20	1024	100	3922	184	10750	6602	2491	3602	5079	3910250	89072	5	5	0	true	
matrix-lat100-20ag-1024b	matrix	slim-group-session	5	20	20	1024	100	282	3	190	3046	92	146	316	0	190	5	5	0	true	
matrix-lat100-20ag-1024b	matrix	p2p-relay-stream	6	20	20	1024	100	3508	184	10796	6424	2433	3525	4180	3915590	89072	5	5	0	true	
matrix-lat100-20ag-1024b	matrix	slim-group-session	6	20	20	1024	100	364	5	218	3795	99	153	495	0	218	5	5	0	true	
matrix-lat100-20ag-1024b	matrix	p2p-relay-stream	7	20	20	1024	100	3308	143	8135	5684	1900	3232	4942	3646142	85103	5	5	0	true	
matrix-lat100-20ag-1024b	matrix	slim-group-session	7	20	20	1024	100	389	4	226	3800	110	186	483	0	226	5	5	0	true	
matrix-lat100-20ag-1024b	matrix	p2p-relay-stream	8	20	20	1024	100	3511	163	11169	5730	2301	3290	4708	3688931	89033	5	5	0	true	
