scenario_name	domain	implementation	agents	think_time_ms	payload_bytes	latency_ms	run_count	success_count	consensus_wall_mean	consensus_wall_variance	consensus_wall_stddev	consensus_wall_ci_low	consensus_wall_ci_high	consensus_wall_n	findings_emitted_mean	findings_emitted_variance	findings_emitted_stddev	findings_emitted_ci_low	findings_emitted_ci_high	findings_emitted_n	findings_received_mean	findings_received_variance	findings_received_stddev	findings_received_ci_low	findings_received_ci_high	findings_received_n	avg_propagation_mean	avg_propagation_variance	avg_propagation_stddev	avg_propagation_ci_low	avg_propagation_ci_high	avg_propagation_n	p95_propagation_mean	p95_propagation_variance	p95_propagation_stddev	p95_propagation_ci_low	p95_propagation_ci_high	p95_propagation_n
matrix-lat0-10ag	matrix	p2p-relay-stream	10	20	0	0	2	2	91.5	12.5	3.5355339059327378	59.73448815956324	123.26551184043673	2	150	0	0	150	150	2	1237.5	112.5	10.606601717798213	1142.2034644786897	1332.7965355213103	2	8	2	1.4142135623730951	0	20.70620473617469	2	11	2	1.4142135623730951	0	23.70620473617469	2
matrix-lat0-10ag	matrix	slim-group-session	10	20	0	0	2	2	247	18	4.242640687119285	208.8813857914759	285.1186142085241	2	122.5	24.5	4.949747468305833	78.02828342338853	166.9717165766114	2	962	3200	56.568542494923804	453.7518105530118	1470.2481894469877	2	48.5	24.5	4.949747468305833	4.028283423388537	92.97171657661141	2	86	18	4.242640687119285	47.88138579147589	124.11861420852406	2
matrix-lat0-10ag-1024b	matrix	p2p-relay-stream	10	20	1024	0	2	2	101	8	2.8284271247461903	75.58759052765059	126.41240947234938	2	145	2	1.4142135623730951	132.2937952638253	157.7062047361747	2	1196	648	25.45584412271571	967.2883147488553	1424.7116852511444	2	11	0	0	11	11	2	16.5	0.5	0.7071067811865476	10.146897631912648	22.853102368087345	2
matrix-lat0-10ag-1024b	matrix	slim-group-session	10	20	1024	0	2	2	260.5	12.5	3.5355339059327378	228.73448815956323	292.2655118404367	2	120	50	7.0710678118654755	56.468976319126476	183.53102368087346	2	966.5	1404.5	37.476659402887016	629.7855744913704	1303.2144255086293	2	58	2	1.4142135623730951	45.293795263825295	70.7062047361747	2	126.5	0.5	0.7071067811865476	120.14689763191265	132.85310236808735	2
matrix-lat0-10ag-4096b	matrix	p2p-relay-stream	10	20	4096	0	2	2	143	8	2.8284271247461903	117.58759052765059	168.4124094723494	2	154	0	0	154	154	2	1259	578	24.041630560342615	1042.99451948503	1475.0054805149698	2	28.5	0.5	0.7071067811865476	22.146897631912648	34.85310236808735	2	45	32	5.656854249492381	0	95.82481894469876	2
matrix-lat0-10ag-4096b	matrix	slim-group-session	10	20	4096	0	2	2	295.5	312.5	17.67766952966369	136.6724407978162	454.3275592021837	2	139	0	0	139	139	2	1116	2592	50.91168824543142	658.5766294977107	1573.423370502289	2	68.5	4.5	2.1213203435596424	49.440692895737946	87.55930710426203	2	129.5	1404.5	37.476659402887016	0	466.2144255086293	2
matrix-lat0-10ag-10240b	matrix	p2p-relay-stream	10	20	10240	0	2	2	150	128	11.313708498984761	48.35036211060236	251.64963788939752	2	160	98	9.899494936611665	71.05656684677707	248.94343315322283	2	1173	4050	63.63961030678928	601.2207868721383	1744.779213127861	2	31	8	2.8284271247461903	5.58759052765059	56.41240947234938	2	61.5	420.5	20.506096654409877	0	245.739968674533	2
matrix-lat0-10ag-10240b	matrix	slim-group-session	10	20	10240	0	2	2	298	72	8.48528137423857	221.76277158295179	374.23722841704813	2	117.5	12.5	3.5355339059327378	85.73448815956324	149.26551184043672	2	970	2048	45.254833995939045	563.4014484424094	1376.59855155759	2	65	128	11.313708498984761	0	166.64963788939752	2	206	648	25.45584412271571	0	434.71168525114444	2
matrix-lat0-20ag	matrix	p2p-relay-stream	20	20	0	0	2	2	4476	9202050	3033.488091290289	0	31730.809159094715	2	4806.5	4348300.5	2085.257897719129	0	23541.798883489584	2	13044	67861250	8237.794000823278	0	87057.64258821757	2	1923.5	1603840.5	1266.4282451051067	0	13301.906341244437	2	4636.5	7988004.5	2826.3058044026307	0	30029.850165245123	2
matrix-lat0-20ag	matrix	slim-group-session	20	20	0	0	2	1	310	0	0	310	310	1	231	0	0	231	231	1	3812	0	0	3812	3812	1	62	0	0	62	62	1	155	0	0	155	155	1
